Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PriceToRentRatio_AllHomes,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental
4/30/1996,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,49600,53600,66800,79900,,56800,45300,71600,56800,56300,99300,,,,,
4/30/1996,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,49300,64600,78600,126800,151100,74300,46800,78700,74300,74400,130600,,,,,
4/30/1996,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76400,,,,49800,,,,,,,,,
4/30/1996,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,79000,91500,112600,135100,87400,59300,75500,87400,88300,135900,,,,,
4/30/1996,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,77500,90000,119600,171500,234100,127000,75700,108900,127000,132600,208600,,,,,
4/30/1996,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,82900,106600,136300,195400,249200,137300,87900,103100,137300,144300,229300,,,,,
4/30/1996,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,66600,76900,98200,170200,166500,87600,54000,114300,87600,85400,156800,,,,,
4/30/1996,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,60500,83700,99700,127300,163500,95700,62200,91500,95700,96200,154900,,,,,
4/30/1996,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,72200,119900,123200,64200,41600,,64200,64200,111100,,,,,
4/30/1996,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,49400,59100,86700,151400,193300,80700,49600,74500,80700,81200,142400,,,,,
4/30/1996,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,56000,63800,86200,133000,107900,82200,54900,83800,82200,82200,133600,,,,,
4/30/1996,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,93700,122800,157500,218700,127300,86400,86400,127300,137100,197300,,,,,
4/30/1996,NewHampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,57200,78800,102800,138300,155000,97000,65200,76600,97000,102200,155600,,,,,
4/30/1996,NewJersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,89700,108800,131300,181400,226100,140300,88500,95400,140300,144200,228600,,,,,
4/30/1996,NewMexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,93500,105900,144600,178000,118400,88900,,118400,118400,175800,,,,,
4/30/1996,NewYork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69000,82200,,153600,,60600,,,,,,,,,
4/30/1996,NorthCarolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,57400,62200,91100,156900,188900,91700,54700,85800,91700,92200,164500,,,,,
4/30/1996,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,52100,64600,87900,141500,154400,88100,53500,83100,88100,88600,151100,,,,,
4/30/1996,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,30900,32800,59400,107700,131000,56400,32600,44700,56400,56600,104500,,,,,
4/30/1996,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,82200,94000,124500,162700,184900,124500,83200,108000,124500,125300,189600,,,,,
4/30/1996,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,61600,70800,85400,152400,146100,83300,46800,53600,83300,88500,147900,,,,,
4/30/1996,RhodeIsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,82700,96800,115000,154000,194400,113600,83500,92800,113600,115600,173200,,,,,
4/30/1996,SouthCarolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,60600,65200,88500,142200,,80000,46100,89100,80000,79000,147700,,,,,
4/30/1996,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,52000,51600,80900,140700,198700,70300,40400,85200,70300,69300,133100,,,,,
4/30/1996,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70200,120000,,,,,,,130000,,,,,
4/30/1996,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,101000,121100,136800,166700,126400,97000,112600,126400,129500,186100,,,,,
4/30/1996,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,79500,78000,100300,169500,228700,111600,65200,118100,111600,110000,204000,,,,,
4/30/1996,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,88600,106700,135800,172100,197200,134400,88300,112900,134400,136900,210100,,,,,
4/30/1996,WestVirginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49600,64700,68600,38200,,56000,38200,37900,70900,,,,,
4/30/1996,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,75300,76000,,,,,63100,93300,,,146400,,,,,
5/31/1996,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,60400,48700,78200,146100,202800,79200,44900,98400,79200,78700,139900,,,,,
5/31/1996,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,59200,86800,96800,128500,188900,103900,67200,79300,103900,107900,168700,,,,,
5/31/1996,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,53300,55400,77300,133900,186600,64400,38300,71800,64400,64200,114800,,,,,
5/31/1996,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,92900,123200,150900,195700,264300,157800,94900,135300,157800,161900,270300,,,,,
5/31/1996,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,77100,97800,129400,176700,213900,128400,82800,99700,128400,133900,210300,,,,,
5/31/1996,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,64400,97000,130900,194700,297600,132400,83700,84900,132400,141400,232100,,,,,
5/31/1996,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,89300,88000,103800,158100,177500,107200,76900,,107200,107500,163100,,,,,
5/31/1996,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,45100,65400,89500,133700,200600,86600,52300,70800,86600,92100,155600,,,,,
5/31/1996,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,75500,64600,88200,149500,212500,92400,57200,89600,92400,92900,163700,,,,,
5/31/1996,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,,,151900,186200,229600,299700,342200,224900,141700,175900,224900,261800,368200,,,,,
5/31/1996,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,75400,81900,103000,131800,160000,109400,80400,98400,109400,109600,169600,,,,,
5/31/1996,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,83300,92200,110400,171500,223000,114400,63800,106700,114400,116500,190400,,,,,
5/31/1996,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,47300,53400,77800,,134100,74200,48600,84400,74200,73700,132500,,,,,
5/31/1996,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,50200,54400,67400,80800,,57500,46000,71700,57500,57000,100500,,,,,
5/31/1996,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,50300,65200,79500,128700,152300,75100,47600,80000,75100,75000,132600,,,,,
5/31/1996,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77300,,,,48900,,,,,,,,,
5/31/1996,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,79200,91800,113100,135600,87200,59300,75600,87200,88100,137600,,,,,
5/31/1996,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,76700,89800,119600,171900,233500,126900,75600,109000,126900,132500,209000,,,,,
5/31/1996,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,82300,106800,136600,195300,249400,137700,88100,103400,137700,144700,229500,,,,,
5/31/1996,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,65700,75800,97800,168400,163600,87100,53600,114300,87100,84900,155000,,,,,
5/31/1996,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,60500,84300,100200,128200,163500,96200,62600,91200,96200,96800,155100,,,,,
5/31/1996,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,71500,120500,124400,64200,41100,,64200,64200,111300,,,,,
5/31/1996,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,48500,59400,87800,151600,191400,81400,49700,74600,81400,82000,143000,,,,,
5/31/1996,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,55800,64300,86800,134700,107700,82500,54300,84500,82500,82500,135200,,,,,
5/31/1996,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,93700,122400,157000,217700,126800,86500,86500,126800,136700,196500,,,,,
5/31/1996,NewHampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,57500,78600,103700,137200,153200,97300,65300,76600,97300,102900,153900,,,,,
5/31/1996,NewJersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,87200,108000,130700,181300,224000,139900,87900,94000,139900,143700,228000,,,,,
5/31/1996,NewMexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,90600,102300,143200,179400,116400,88700,,116400,116400,177800,,,,,
5/31/1996,NewYork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69100,82400,,153600,,61500,,,,,,,,,
5/31/1996,NorthCarolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,57900,62500,91400,156900,189300,91900,54800,86400,91900,92500,164200,,,,,
5/31/1996,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,52000,64800,88100,141800,154600,88300,53400,83700,88300,88800,151400,,,,,
5/31/1996,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,31000,32800,59700,107500,130400,56400,32700,43600,56400,56600,104100,,,,,
5/31/1996,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,82500,94500,125200,163200,185100,125200,83400,108700,125200,126000,189600,,,,,
5/31/1996,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,60900,70800,85700,152300,145600,83700,46600,53500,83700,88600,147700,,,,,
5/31/1996,RhodeIsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,80900,96800,115600,153800,192800,114000,83600,91500,114000,116000,172700,,,,,
5/31/1996,SouthCarolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,60800,64700,88200,141500,,80000,45800,88300,80000,79100,146900,,,,,
5/31/1996,SouthDakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,57000,71100,83100,101900,127700,83500,59900,88600,83500,83500,128400,,,,,
5/31/1996,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,52200,51700,81200,141400,198900,70700,40500,86000,70700,69700,133400,,,,,
5/31/1996,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70100,120100,,,,,,,130600,,,,,
5/31/1996,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,101000,121300,136900,167500,126500,97000,112500,126500,129900,187400,,,,,
5/31/1996,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,118700,128800,150000,166200,,,,,,,,,,,
5/31/1996,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,79100,78000,100700,170200,227700,112200,65900,118600,112200,110700,203900,,,,,
5/31/1996,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,88500,107200,136000,171900,196500,134800,88400,113300,134800,137100,209800,,,,,
5/31/1996,WestVirginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50100,65700,69700,39000,,56200,39000,38600,72000,,,,,
5/31/1996,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,74700,76000,,,,,62900,92800,,,145900,,,,,
6/30/1996,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,59900,48800,78400,146300,200800,79500,44700,98000,79500,78900,140000,,,,,
6/30/1996,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,59200,87000,97400,128500,188600,104100,67300,79400,104100,108500,168900,,,,,
6/30/1996,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,53400,56100,77800,133200,188000,64400,38200,73100,64400,64100,114600,,,,,
6/30/1996,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,92000,123100,150600,194900,262500,157500,94500,134700,157500,161300,269700,,,,,
6/30/1996,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,76100,98100,129600,177200,214500,128700,82800,99800,128700,134100,211500,,,,,
6/30/1996,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,64100,97100,131300,194700,297200,132700,83700,84900,132700,141900,232100,,,,,
6/30/1996,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,89000,87500,103900,158700,179100,107500,76500,,107500,107600,164600,,,,,
6/30/1996,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,44700,65400,89600,133600,200200,86700,52000,70800,86700,92100,155700,,,,,
6/30/1996,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,75300,64700,88400,149500,212300,92600,57200,89300,92600,93200,163600,,,,,
6/30/1996,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,,150800,184800,228300,296700,338000,223400,138500,174700,223400,259700,363600,,,,,
6/30/1996,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,75300,81700,102800,132100,159500,109500,80300,98500,109500,109700,169300,,,,,
